"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.511915742E0,1.430000067E-1,8.472999573E0,5.282000065E0,9.985574367E0
1.516925058E0,2.569999993E-1,8.510999680E0,5.243999958E0,1.000013500E1
1.521933443E0,1.809999943E-1,8.472999573E0,5.166999817E0,9.925843534E0
1.526942448E0,1.809999943E-1,8.472999573E0,5.243999958E0,9.966143603E0
1.531951910E0,1.809999943E-1,8.472999573E0,5.321000099E0,1.000687388E1
1.536960881E0,2.569999993E-1,8.395999908E0,5.321000099E0,9.943435298E0
1.541969342E0,1.430000067E-1,8.434000015E0,5.321000099E0,9.973256605E0
1.546977799E0,6.599999964E-2,8.472999573E0,5.282000065E0,9.984768522E0
1.551986106E0,6.599999964E-2,8.357999802E0,5.243999958E0,9.867119754E0
1.556995265E0,6.599999964E-2,8.434000015E0,5.243999958E0,9.931578315E0
1.562004573E0,1.430000067E-1,8.357999802E0,5.321000099E0,9.909069166E0
1.567014044E0,2.800000086E-2,8.395999908E0,5.243999958E0,9.899148146E0
1.572022814E0,1.430000067E-1,8.395999908E0,5.205999851E0,9.880065684E0
1.577031496E0,6.599999964E-2,8.434000015E0,5.282000065E0,9.951695179E0
1.582040496E0,6.599999964E-2,8.472999573E0,5.205999851E0,9.944773110E0
1.587049665E0,6.599999964E-2,8.395999908E0,5.321000099E0,9.940332616E0
1.592058973E0,1.430000067E-1,8.395999908E0,5.205999851E0,9.880065684E0
1.597068280E0,1.809999943E-1,8.395999908E0,5.205999851E0,9.880688737E0
1.602077588E0,1.040000021E-1,8.472999573E0,5.166999817E0,9.924738025E0
1.607086361E0,-9.999999776E-3,8.434000015E0,5.205999851E0,9.911351609E0
1.612092977E0,-9.999999776E-3,8.357999802E0,5.129000187E0,9.806268587E0
1.617099366E0,-9.999999776E-3,8.319000244E0,5.205999851E0,9.813679204E0
1.622106059E0,-4.800000042E-2,8.281000137E0,5.091000080E0,9.720882115E0
1.627113294E0,-8.600000292E-2,8.319000244E0,5.091000080E0,9.753534891E0
1.632120602E0,-4.800000042E-2,8.434000015E0,5.129000187E0,9.871236152E0
